,Mean,Lower_ci,Upper_ci,Date,City
7907,107505.78423125252,103739.8235620013,111271.74490050373,2022-01,"Ardmore, OK"
7908,107850.07204231164,103880.63854868955,111819.50553593374,2022-02,"Ardmore, OK"
7909,108190.64698761095,104020.71918622882,112360.57478899308,2022-03,"Ardmore, OK"
7910,108527.61900750356,104159.84701168242,112895.3910033247,2022-04,"Ardmore, OK"
7911,108861.0947869377,104297.86636740318,113424.32320647221,2022-05,"Ardmore, OK"
7912,109191.1778518514,104434.66887661113,113947.68682709167,2022-06,"Ardmore, OK"
7913,109517.96866271281,104570.18216349708,114465.75516192854,2022-07,"Ardmore, OK"
7914,109841.5647052907,104704.3615086496,114978.7679019318,2022-08,"Ardmore, OK"
7915,110162.06057873729,104837.18357946222,115486.93757801237,2022-09,"Ardmore, OK"
7916,110479.5480810628,104968.6416558375,115990.45450628811,2022-10,"Ardmore, OK"
7917,110794.11629207911,105098.74195190312,116489.4906322551,2022-11,"Ardmore, OK"
7918,111105.85165388728,105227.50075327273,116984.20255450183,2022-12,"Ardmore, OK"
7919,111414.83804898197,105354.94216936707,117474.73392859686,2023-01,"Ardmore, OK"
7920,177395.82371042424,175433.48542685312,179358.16199399537,2021-02,"Nogales, AZ"
7921,177993.78355658168,174478.48801685026,181509.0790963131,2021-03,"Nogales, AZ"
7922,178537.64849339201,173483.71881462279,183591.57817216124,2021-04,"Nogales, AZ"
7923,179041.00952977297,172491.31204413043,185590.7070154155,2021-05,"Nogales, AZ"
7924,179514.04301833487,171529.49411932947,187498.59191734027,2021-06,"Nogales, AZ"
7925,179964.36856650168,170613.59979051535,189315.13734248801,2021-07,"Nogales, AZ"
7926,180397.69140280856,169750.76526073454,191044.61754488258,2021-08,"Nogales, AZ"
7927,180818.28335266944,168943.19673636067,192693.36996897822,2021-09,"Nogales, AZ"
7928,181229.34297198002,168190.22673549285,194268.4592084672,2021-10,"Nogales, AZ"
7929,181633.2651993968,167489.5853151213,195776.94508367227,2021-11,"Nogales, AZ"
7930,182031.84326016126,166838.18122215432,197225.5052981682,2021-12,"Nogales, AZ"
7931,182426.41984284626,166232.57764204114,198620.26204365137,2022-01,"Nogales, AZ"
7932,182818.00029388675,165669.27689817702,199966.7236895965,2022-02,"Nogales, AZ"
7933,183207.3373726901,165144.88536730866,201269.78937807152,2022-03,"Nogales, AZ"
7934,183594.99471255278,164656.2034216941,202533.78600341146,2022-04,"Nogales, AZ"
7935,183981.39433741753,164200.26878473462,203762.51989010043,2022-05,"Nogales, AZ"
7936,184366.85224034096,163774.37136753713,204959.3331131448,2022-06,"Nogales, AZ"
7937,184751.6050230931,163376.0511028442,206127.15894334202,2022-07,"Nogales, AZ"
7938,185135.82984272356,163003.0861002108,207268.5735852363,2022-08,"Nogales, AZ"
7939,185519.65934667698,162653.47574792893,208385.84294542504,2022-09,"Nogales, AZ"
7940,185903.1928555541,162325.4216450419,209480.9640660663,2022-10,"Nogales, AZ"
7941,186286.50473627355,162017.3081215173,210555.7013510298,2022-11,"Nogales, AZ"
7942,186669.650671529,161727.6833797541,211611.6179633039,2022-12,"Nogales, AZ"
